Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -noadj -condenseGenes) (cmd=getDiffExpression.pl tag_counts.txt KLRGhi-LCMV-12d KLRGhi-LCMV-7d KLRGlo-LCMV-12d KLRGlo-LCMV-7d RNA-LCMV-0d RNA-LCMV-35d-rep1 RNA-LCMV-35d-rep2 Foxo1-KO-KLRGhi-LCMV-12d Foxo1-KO-KLRGhi-LCMV-7d Foxo1-KO-KLRGlo-LCMV-7d Foxo1-KO-LCMV-0d)	Annotation/Divergence	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logFC	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d FDR	KLRGhi-LCMV-12d vs. KLRGhi-LCMV-7d logCPM
NM_008017	Smc2|5730502P04Rik|AI255214|AW545314|CAP-E|CAPE|Fin16|SMC-2|Smc2l1|RP23-122I3.3|4 B3|4 28.31 cM|protein-coding	3.34451005566881	5.6300734933913795e-09	7.10540157093283
NM_001285997	Prc1|D7Ertd348e|-|7 D3|7 45.62 cM|protein-coding	3.32200830472902	7.358157460295992e-09	6.9029444572445
NM_177372	Dna2|Dna2l|E130315B21Rik|-|10 B4|10|protein-coding	3.3150365350002797	2.4244101736248397e-08	4.71002551322496
NM_146171	Ncapd2|2810406C15Rik|2810465G24Rik|CAP-D2|CNAP1|mKIAA0159|-|6|6 F2|protein-coding	3.29404691942866	7.59331793641063e-09	8.39517809668404
NM_007708	Cit|C030025P15Rik|CRIK|CRIK-SK|Cit-k|-|5 F|5|protein-coding	3.28966602286667	1.4164636979591102e-08	5.8753189655033
NM_007681	Cenpa|Cenp-A|-|5 B1|5 16.76 cM|protein-coding	3.2611615597970802	1.40733224346506e-08	6.826850735008231
NR_024720	2700099C18Rik|9430041D22Rik|-|17 E5|17|pseudo	3.25768628338566	6.65823751317632e-07	2.8149417206241
NM_011495	Plk4|1700028H20|AI385771|Sak|Stk18|-|3 B|3|protein-coding	3.2166575226136804	3.04362174351803e-08	5.8299690376748705
NR_028421	D430020J02Rik|-|-|12 F2|12|ncRNA	3.2037573148201	6.5916197042801e-07	3.02513385993846
NM_027182	Trip13|2410002G23Rik|D13Ertd328e|-|13 C1|13 40.15 cM|protein-coding	3.1820564313909	7.31963151230911e-08	4.9386159381655
NM_177752	Eme1|6820428D13|RP23-290B5.3|11 D|11|protein-coding	3.16716631116283	9.567884553748461e-08	4.7684639016176105
NM_027975	Fam83d|2310007D09Rik|BB104611|RP23-119H5.1|2 H1|2|protein-coding	3.16195628087478	4.2956714938483707e-07	3.59601740329945
NM_008828	Pgk1|Pgk-1|-|X C-D|X 47.36 cM|protein-coding	3.1496720271097796	4.879436612481839e-06	2.33230936925085
NM_001029856	Atad5|C130052G03Rik|FRAG1|Gm17|RP23-328O2.1|11 B5|11|protein-coding	3.13705709210944	9.451730185658301e-08	5.30546057341229
NM_026412	Knstrn|1700025D04Rik|C15orf23|D2Ertd750e|SKAP|Traf4af1|RP23-172B16.7|2 E5|2|protein-coding	3.13013215492496	9.004799369858439e-08	5.474843148053679
NM_023422	Hist1h2bc|2610022J01Rik|H2bfs|R74621|-|13 A3.1|13|protein-coding	3.1224833692065697	8.82774008745113e-06	2.15249610194646
NM_029522	Gpsm2|6230410J09Rik|LGN|Pins|RP23-217I18.2|3 F3|3|protein-coding	3.10445406077739	1.01463562550104e-07	5.67362495266456
NM_172471	Itih5|4631408O11Rik|5430408M01Rik|E130106B02|RP23-6M16.1|2 A1|2|protein-coding	3.09663203701454	8.234039874816879e-07	3.33876746588666
NM_012012	Exo1|5730442G03Rik|Msa|-|1 H4|1 81.9 cM|protein-coding	3.0953519897543402	8.00640515804752e-07	3.5367613323304
NM_001013377	Arhgef39|E130306D19Rik|RP23-195K8.7|4 B1|4|protein-coding	3.09134557255677	2.79629345065186e-06	2.72287796249344
NM_001162932	Rmi2|A630055G03Rik|Gm537|Gm929|-|16 A1|16|protein-coding	3.07490092206104	1.83713434218974e-06	3.00242067448748
NM_145409	Chtf18|6030457M03Rik|CTF18|Chl12|-|17 A3.3|17|protein-coding	3.0708997264697797	1.80285719335858e-07	5.109362914015691
NM_025995	Fbxo5|2510044I10Rik|C85305|Emi1|Fbxo31|-|10 A1|10|protein-coding	3.0689795558822994	1.37443622738001e-07	5.73126758280151
NM_029975	Ulbp1|A430108B07Rik|MULT1|-|10 A3|10|protein-coding	3.06019973139555	5.356507219355239e-07	4.04279084626244
NM_007525	Bard1|ENSMUSG00000060893|ENSMUSG00000073653|-|1 C3|1|protein-coding	3.0595137898222595	1.41626733230166e-07	5.86241855400487
NM_009103	Rrm1|RnrM1|-|7 E3|7 54.72 cM|protein-coding	3.0412682820985197	1.1088687377721801e-07	7.75138609701679
NM_019641	Stmn1|19k|Lag|Lap18|Op18|P18|P19|Pig|Pp17|Pp18|Pp19|Pr22|Smn|-|4 D3|4 66.76 cM|protein-coding	3.03785599191891	2.6266964392575002e-06	2.9697735325092705
NM_001077509	Tnfrsf9|4-1BB|A930040I11Rik|AA408498|AI325004|CDw137|Cd137|ILA|Ly63|RP23-272N19.6|4 E2|4 81.52 cM|protein-coding	3.03591328057657	7.35185170568328e-07	3.93320396181925
NM_023294	Ndc80|2610020P18Rik|AV139730|HEC|HEC1|Kntc2|-|17|17 E2|protein-coding	3.02608852105058	3.2170770316858303e-07	4.88353140666241
NM_009387	Tk1|D530002A18Rik|Tk-1|Tk1a|Tk1b|RP23-151N19.8|11 E1-E2|11 82.96 cM|protein-coding	3.01176698071848	3.09449210301657e-07	5.27542104941904
NM_019976	Psrc1|5430413I02Rik|AL033312|Dda3|RP23-27B23.8|3 F3|3|protein-coding	3.00056065648964	1.70406763048833e-05	2.2018028286735096
NM_053173	Kifc5b|Hset|KNSL2|Kifc5a|-|17 A3.3|17|protein-coding	2.9953091958244698	1.49478045759984e-06	3.6503765056339
NM_010700	Ldlr|Hlb301|-|9 A3|9 7.87 cM|protein-coding	2.9942665485199904	9.05260480646843e-07	4.06740756579481
NR_045963	Gm1976|100038868|RP24-133K9.1|17 E5|17|ncRNA	2.9936088961409997	2.69028622393237e-05	2.04013775666278
NM_178856	Gins2|2210013I18Rik|4833427B12Rik|AI323585|Pfs2|-|8 E1|8|protein-coding	2.9771572256850396	6.9141714147212e-07	4.48451470628706
NM_178683	Depdc1b|9830132O03|AW260467|XTP1|-|13 D2.1|13|protein-coding	2.9552849652807303	4.1002820161097e-07	5.89159388885541
NM_010436	H2afx|AW228881|H2A.X|H2ax|Hist5-2ax|gammaH2ax|-|9 A5.2|9 24.84 cM|protein-coding	2.9425548589142103	3.03592709540885e-07	7.83696469683863
NM_026624	Fam166a|4931415M17|RP23-132N23.6|2 A3|2|protein-coding	2.9236647000410896	6.40126748629743e-06	2.95572116963314
NM_008234	Hells|AI323785|E130115I21Rik|LSH|Lysh|PASG|YFK8|-|19|19 C3-D1|protein-coding	2.91960224932288	7.010634711193989e-07	5.31240389904805
NM_028006	Tube1|2310061K05Rik|AI551343|Tube|-|10 B1|10|protein-coding	2.913758413104	2.8284331787392003e-06	3.68260082202893
NM_023279	Tubb3|3200002H15Rik|M(beta)3|M(beta)6|-|8 E1|8|protein-coding	2.90031779431664	4.47079581758584e-06	3.45507351268692
NM_010049	Dhfr|8430436I03Rik|AA607882|AI662710|AW555094|-|13 C3|13 47.64 cM|protein-coding	2.8922485482107003	1.00270157200567e-06	5.134159987757299
NM_008651	Mybl1|A-myb|G1-419-6|repro9|-|1 A2|1 2.08 cM|protein-coding	2.8880446504680894	3.13263451806282e-06	3.7802059615231403
NM_010715	Lig1|AL033288|LigI|-|7 A1|7 7.82 cM|protein-coding	2.8854656481119	6.14301237920066e-07	6.9687424474348605
NM_025968	Ptgr1|2510002C21Rik|Ltb4dh|Zadh3|RP23-211P15.3|4|4 C1|protein-coding	2.88006810608185	4.01356287123787e-05	2.16943228930132
NM_028355	Ndc1|2810475A17Rik|AI450313|Tmem48|RP23-392J14.4|4 C7|4|protein-coding	2.86854053273323	4.5126270240224095e-06	3.6178067821792204
NM_183046	Kif20b|33cex|B130024C23|C330014J10Rik|Mphosph1|magoo|-|19 C2|19|protein-coding	2.86362772376081	1.23355515553398e-06	5.20519362345603
NM_016692	Incenp|2700067E22Rik|AU019509|C130081E20|C77457|-|19 A|19 6.1 cM|protein-coding	2.85211017160366	7.96890763619095e-07	7.267596048884081
NM_001081001	Brca2|Fancd1|RAB163|-|5 G3|5 89.52 cM|protein-coding	2.8351888079765097	3.21266105524321e-06	4.15136398902548
NM_009846	Cd24a|Cd24|HSA|Ly-52|nectadrin|-|10 B2|10 23.01 cM|protein-coding	2.8342421767697696	6.92138581954965e-05	2.05828956423834
NM_008630	Mt2|AA409533|MT-II|Mt-2|-|8 C5|8 46.32 cM|protein-coding	2.8305273928531496	1.30362316757856e-05	2.95588994556297
NM_011132	Pole|-|-|5 E3-E5|5 53.45 cM|protein-coding	2.81705586507447	1.28571492017773e-06	6.370457673500731
NM_010721	Lmnb1|-|-|18 D3|18 30.84 cM|protein-coding	2.78780420173163	1.29606972895429e-06	8.69116848688957
NM_028716	Phf19|3110009G19Rik|3321402G02Rik|RP23-9N11.3|2 B|2|protein-coding	2.7644004842937004	3.86162196328723e-06	4.69967850961533
NR_000040	Tyms-ps|-|-|10 C1|10|pseudo	2.7623387223585403	7.85914371224491e-05	2.2021977001539303
NM_008116	Ggt1|CD224|GGT|GGT 1|GGT-1|Ggtp|dwg|-|10 C1|10|protein-coding	2.7117021632912404	5.661977003770901e-06	4.83440310309064
NM_001290762	Nmral1|1110025F24Rik|AI256624|-|16 A1|16 2.46 cM|protein-coding	2.6788526667224	1.70406763048833e-05	3.8126138564935204
NM_013602	Mt1|MT-I|Mt-1|-|8 C5|8 46.34 cM|protein-coding	2.66952826659985	1.00923832234163e-05	4.52429973146577
NM_172449	Bzrap1|D230016K05|PRAX-1|mKIAA0612|RP23-449P23.4|11 C|11|protein-coding	2.65687959097213	7.0118138262465e-06	5.53930141612781
NM_133706	Tmem97|1810014L12Rik|AI115531|AL022956|D11Bhm182e|RP23-399H5.9|11 B5|11 46.74 cM|protein-coding	2.6537493994890897	2.98093873576492e-05	3.4823261617939503
NM_001080995	Ddias|4632434I11Rik|noxin|-|7|7 E2|protein-coding	2.64493926449427	1.7986697860564604e-05	4.02097208681553
NM_001168244	Syce2|1700013H19Rik|AA407907|Cesc1|-|8 C3|8|protein-coding	2.6368377223591404	0.000101046201446601	2.53203135597027
NM_058214	Recql4|RecQ4|-|15|15 D3|protein-coding	2.63097232525202	1.87738785334828e-05	4.12232009972431
NM_007891	E2f1|E2F-1|mKIAA4009|RP23-109C16.5|2 H1|2 76.79 cM|protein-coding	2.63054541397722	1.0733662845724901e-05	5.11668441216779
NM_025928	Pmf1|2600009M07Rik|AL033286|AW060657|-|3 F1|3|protein-coding	2.6277123772782	9.21613908401412e-06	5.5201246723035595
NM_026613	Ccdc34|2810027O19Rik|4930522P10Rik|AI596202|RP23-300M9.1|2 E3|2|protein-coding	2.59289964085574	2.2205009166986802e-05	4.29273656308284
NM_134041	4930427A07Rik|AA536649|mFLJ00116|-|12 F1|12|protein-coding	2.5923150831857202	1.34461018752626e-05	5.50152128299328
NM_198664	Tbc1d2|A630005A06Rik|BC022630|Gm1037|PARIS-1|PARIS1|RP23-117B19.7|4 B1|4|protein-coding	2.5892708503188904	1.74130244696987e-05	4.889449007484821
NM_028120	Cep89|2610507L03Rik|Ccdc123|-|7 B2|7|protein-coding	2.5754055355826204	4.64462427739481e-05	3.62142552671128
NM_178252	Arhgap33|AW324378|NOMA-GAP|Snx26|TCGAP|-|7 B1|7|protein-coding	2.56617293816875	2.21439028381395e-05	4.80588538949422
NM_015829	Slc25a13|AI785475|Ctrn|-|6 A1|6|protein-coding	2.56344337954146	9.7151009000697e-05	3.07547642776007
NM_001037134	Ccne2|-|RP23-343F17.5|4|4 A2|protein-coding	2.54599662455937	4.34777379953151e-05	3.9366198651758504
NM_197997	Zgrf1|4930422G04Rik|AI448607|-|3 G2|3|protein-coding	2.53903367246924	2.89976268017598e-05	4.5937382575
NM_198654	Nsl1|4833432M17Rik|AI451597|Gm105|Gm984|-|1 H6|1|protein-coding	2.5265542331533597	3.03220098178987e-05	4.675779496427849
NM_001042527	Blm|-|-|7 D3|7 45.65 cM|protein-coding	2.5185922757643397	2.9527758061240303e-05	5.0289038412541105
NM_134156	Actn1|3110023F10Rik|Actn1a|-|12 C3|12 36.49 cM|protein-coding	2.51249817106962	2.34807626977244e-05	6.00529593816906
NM_013787	Skp2|FBXL1|FWD1|p45|-|15 A2|15|protein-coding	2.5056019488505	0.000108364962219165	3.3066043666104705
NM_008566	Mcm5|AA617332|AI324988|AL033333|Cdc46|Mcmd5|P1-CDC46|mCD46|mCDC46|-|8 C1|8|protein-coding	2.5048371940723704	1.93078458865927e-05	8.23824389103189
NM_211138	Pcyt1b|AW045697|CTTbeta|RP23-369L6.1|X C3|X|protein-coding	2.47997530620196	0.000327982680807329	2.44657605031258
NM_027678	Zranb3|4933425L19Rik|AH2|AI316834|C730006D09|-|1 E4|1|protein-coding	2.47931980639669	0.000166995689726298	3.12321599562675
NM_020567	Gmnn|AW546347|Gem|RP23-92G13.2|13 A3.1|13|protein-coding	2.4739181878328598	4.53713031463471e-05	4.91941399182224
NM_020570	Xrcc2|4921524O04Rik|8030409M04Rik|RAD51|RecA|-|5 A3|5|protein-coding	2.4613131266439	9.48131243056479e-05	3.7784198318997504
NM_011654	Tuba1b|Tuba2|-|15 F1|15|protein-coding	2.45644076821352	3.99183713731831e-05	5.88520656969092
NM_001289895	Tns1|1110018I21Rik|1200014E20Rik|AI648117|E030018G17Rik|E030037J05Rik|Tns|-|1 C3|1 38.17 cM|protein-coding	2.45254896428837	0.00031428901477377003	2.595086214963
NM_007669	Cdkn1a|CAP20|CDKI|CIP1|Cdkn1|P21|SDI1|Waf1|mda6|p21Cip1|p21WAF|-|17 A3.3|17 15.12 cM|protein-coding	2.44028580847824	6.83184443073504e-05	4.510276005840191
NM_001081332	Slc9a5|Gm696|-|8 D3|8|protein-coding	2.4353784842988397	0.000214383238005524	3.16935330115484
NR_037956	1190002F15Rik|AI120476|-|6 G1|6|ncRNA	2.42632877965714	0.00017365446245458502	3.40800687316862
NR_033402	Tyms|Ts|-|5 B1|5 15.81 cM|protein-coding	2.42422930817536	5.3922770388412e-05	5.672922041971081
NM_019429	Prss16|AI448615|TSSP|RP23-9O16.20-001|13 A3-A5|13 8.12 cM|protein-coding	2.40139734631629	0.000548544681568885	2.42620332624692
NM_009516	Wee1|Wee1A|-|7 F1|7|protein-coding	2.39513274793477	9.57094497155682e-05	4.689090175335441
NM_001109747	Cenpw|2610036L11Rik|Cug2|-|10 A4|10|protein-coding	2.37567743516784	0.00021882916979371002	3.57601546470516
NM_177420	Psat1|D8Ertd814e|EPIP|PSA|Psat|-|19 A|19 10.86 cM|protein-coding	2.35894916300149	8.281258115731829e-05	6.336668301703511
NM_021397	Zbtb32|4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp|-|7 B2-B3|7|protein-coding	2.3587147351362403	9.15783188971348e-05	5.704701993692559
NM_007585	Anxa2|AW215814|Cal1h|CT009708.1|9 C|9 38.58 cM|protein-coding	2.35529114787817	7.28894800562826e-05	8.4119579395528
NM_008235	Hes1|Hry|bHLHb39|-|16 B2|16 21.09 cM|protein-coding	2.35423599722083	0.000826747327581843	2.2965091080154703
NM_001291054	Mcm8|5730432L01Rik|RP23-77H16.3|2|2 F3|protein-coding	2.34570519276644	0.0006992227889908231	2.50679149421487
NM_001081396	Tbc1d31|4B3|D330013L20Rik|Gm85|Wdr67|-|15 D1|15|protein-coding	2.34438990324916	0.000168960070239501	4.24919580646729
NM_022724	Suv39h2|4930507K23Rik|AA536750|D030054H19Rik|D2Ertd544e|KMT1B|RP23-167G19.7|2 A|2 1.95 cM|protein-coding	2.3390327776892	0.000332960392710163	3.38001389161977
NM_008563	Mcm3|AL033361|C80350|Mcmd|P1|p1.m|-|1|1 A3-A5|protein-coding	2.3346773090321697	8.876706780932429e-05	7.495229194046309
NM_025415	Cks2|1110038L14Rik|CKSHS2|-|13 A5|13|protein-coding	2.31703339504538	0.00107237407705518	2.26608869174775
NM_028959	Cep72|2610029E11Rik|4933440J22Rik|-|13 C1|13|protein-coding	2.3105210803977	0.000490090860572249	3.19415601470508
NM_023824	Paqr4|1500004C10Rik|MNCb-0914|17 A3.3|17|protein-coding	2.3091559307627403	0.00017365446245458502	4.8838836039857
NM_001163763	Tcf19|5730403J10Rik|AW495861|-|17 B1|17|protein-coding	2.30510980331388	0.000125655338511506	6.58090214363546
NM_001081079	Ogfrl1|2210417C17Rik|-|1 A5|1|protein-coding	2.29860175616444	0.00152408642742291	2.10311664843061
NM_175494	Zfp367|8030486J21Rik|ZFF29a|ZFF29b|Znf367|RP23-216H9.1|13 B3|13|protein-coding	2.2916183300715	0.00017365446245458502	5.38211461889632
NM_172598	Wdhd1|A630092E18|AND-1|D630024B06Rik|-|14 C1|14|protein-coding	2.29137353770136	0.000155121529486348	5.91480851345721
NM_008613	Mns1|AW546487|-|9 D|9|protein-coding	2.2842094203336	0.000400584280959264	3.63112354223647
NM_001190717	Dbf4|AA545217|Ask|-|5|5 A2|protein-coding	2.2773331525561202	0.000179651728690492	5.7681775039859104
NM_008972	Ptma|Thym|-|1 D|1|protein-coding	2.2739212219715403	0.000159143117900683	6.7997097652172105
NM_001290521	Wdr31|5430402I10Rik|spWD|RP24-189G18.3|4|4 C1|protein-coding	2.27133612553702	0.0013185596279046	2.3630541732290298
NM_001081115	Nccrp1|1190020J12Rik|Gm163|NCCRP-1|-|7 A3|7|protein-coding	2.2696537770185	0.000838894001563109	2.7356705985100604
NM_026641	Ift80|4921524P20Rik|Wdr56|mKIAA1374|-|3|3 E2|protein-coding	2.26799929430759	0.000311221965979412	4.20988066308977
NM_026001	Rnaseh2b|1110019N06Rik|2610207P08Rik|Dleu8|-|14 D1|14|protein-coding	2.25463483139597	0.000244382794662601	5.12720596583665
NM_175656	Hist1h4i|-|-|13 A2-A3|13|protein-coding	2.25411304758131	0.00221694274549279	2.014231832356
NM_133786	Smc4|2500002A22Rik|C79747|SMC-4|Smc4l1|-|3|3 E2|protein-coding	2.24929474820679	0.000179596051042625	7.84040934977757
NM_028336	Tmem107|1110004B13Rik|2810049P21Rik|RP23-19I2.5|11 B3|11|protein-coding	2.24271965475642	0.00240872532882104	2.00504898147975
NM_016710	Hmgn5|GARP45|NBP-45|Nsbp1|RP23-145N17.3|X D|X|protein-coding	2.2377275581567404	0.000551614880213233	3.62824888948523
NM_001080129	Tmpo|5630400D24Rik|AI195756|AI606875|AW214352|AW547477|LAP2|TP|-|10 C2|10 45.66 cM|protein-coding	2.2332182413100896	0.00020192422179951498	8.35785812033656
NM_201364	BC055324|-|-|1 H2.2|1|protein-coding	2.22462768238327	0.00044787344728944295	4.08887546401622
NM_001159646	Dut|5031412I06Rik|5133400F09Rik|D2Bwg0749e|Dutp|dUTPase|RP23-216B20.3|2 F1|2 61.33 cM|protein-coding	2.20838181293733	0.000279883686569582	6.4892571512218895
NM_008921	Prim1|AI324982|-|10 D3|10 76.39 cM|protein-coding	2.2054575896477	0.000324368613218274	5.70085159463724
NM_175265	Bora|6720463M24Rik|AI317232|-|14 E2.2|14|protein-coding	2.19244678568432	0.000433269130638185	4.84733079192027
NM_133878	Rcc1|4931417M11Rik|AI326872|Chc1|WI1-2643G14.3|4 D2.3|4|protein-coding	2.19141930951434	0.000339995924632218	5.95925366103803
NM_026481	Tppp3|2700055K07Rik|CGI-38|Ceacam9|mmCGM8|-|8|8 D1|protein-coding	2.18812413004435	0.000573068902011501	4.108448707417709
NM_008568	Mcm7|AI747533|Mcmd7|mCDC47|-|5|5 G1|protein-coding	2.18638365299388	0.000311221965979412	7.13432357098569
NM_001286469	Xkr5|5430438H03Rik|XRG5|-|8 A1.3|8|protein-coding	2.17020645974561	0.00334426446376731	2.05067537766015
NM_025377	Ska2|1110001A07Rik|C78640|Fam33a|RP23-352L3.5|11 C|11|protein-coding	2.16735432080125	0.000540657729701543	4.72096397303116
NM_007971	Ezh2|Enx-1|Enx1h|KMT6|mKIAA4065|-|6 B|6 22.92 cM|protein-coding	2.1594956784145	0.00037953285122477	7.2004209340965
NM_172746	Hirip3|B130036O03|C86302|-|7 F3|7|protein-coding	2.15728533047189	0.000670632933944036	4.427342093473401
NR_073523	Slfn10-ps|Slfn10|mFLJ00257|-|11 C|11|pseudo	2.15440931435873	0.0014000876199548198	3.16178339923273
NM_134250	Havcr2|TIM-3|Tim3|Timd3|RP23-248K2.7|11 B1.1|11|protein-coding	2.1496448400186003	0.00045222820506396797	6.343658329180481
NM_001145198	1500009L16Rik|2700050C19Rik|OCC-1|-|10 C1|10|protein-coding	2.13693899146868	0.000781052482774296	4.36219181751537
NM_013600	Msh5|G7|Mut5|-|17 B1|17 18.57 cM|protein-coding	2.12678525785032	0.00231903177297566	2.6201772642135297
NR_002844	Tsix|-|-|X D|X 46.13 cM|ncRNA	2.12154208815281	0.0006131272695114629	5.68820785236004
NM_009361	Tfdp1|Dp1|Drtf1|-|8|8 A1-A3|protein-coding	2.11858998036996	0.000647447250989139	5.42032180673605
NM_001029872	Itgad|Cd11d|-|7 F3|7|protein-coding	2.11727368180739	0.000851956450605679	4.49642868837991
NM_001253768	Ssx2ip|AU014939|AU042321|Adip|-|3 H2|3|protein-coding	2.11421785810841	0.0026849329260998397	2.73605628546145
NM_008210	H3f3a|H3.3A|-|1|1 D2.3|protein-coding	2.11243540822411	0.0011041357597616	3.8934993439409102
NM_026982	Tmem256|1810027O10Rik|3110009M16Rik|RP23-422L16.23|11|11 B4|protein-coding	2.10241932431726	0.00118185075313629	3.85816783713579
NM_172505	A730008H23Rik|mFleg1|-|-|protein-coding	2.09698301522236	0.000621977801535525	7.0821913557222596
NM_145480	Rfc4|A1|AI894123|AU040575|RFC37|-|16 B1|16|protein-coding	2.09573465976973	0.0009399976679365641	4.65500883339528
NM_007999	Fen1|AW538437|FEN-1|-|19 A|19|protein-coding	2.09404985231958	0.000685580284241957	6.37944402755142
NM_181815	Cep128|4930534B04Rik|5430424K18Rik|AI449708|AI480494|E230024F20|-|12|12 E|protein-coding	2.08350383343263	0.0013263217414667	3.9232143220523197
NM_183250	Tma7|1110017O22Rik|Ccdc72|-|9 F2|9|protein-coding	2.08222378595771	0.00517327034239742	2.07748786294508
NM_146235	Ercc6l|BC004701|D330021P09Rik|RP23-448C18.8|X D|X|protein-coding	2.07259569764508	0.00115154678728125	4.5128921205645005
NM_026796	Smyd2|1110020E07Rik|4930402C15|KMT3C|Zmynd14|-|1 H6|1|protein-coding	2.06887056292427	0.00323046399726341	2.63830685398496
NM_009173	Siah1b|AA960570|Sinh1b|RP23-59N7.1|X F5|X 76.11 cM|protein-coding	2.0662277590009697	0.00269691956728247	3.0678638587126805
NM_029482	4930579G24Rik|-|-|3|3 F1|protein-coding	2.06579451058972	0.0010253166141028199	5.126685257420321
NM_021398	Slc43a3|Eeg1|SEEEG-1|RP23-232L15.1|2 E1|2|protein-coding	2.05906688611033	0.000976505740675976	5.65713666497504
NM_011409	Slfn3|-|RP23-381B19.1|11 C|11|protein-coding	2.05488211558773	0.00304519602241814	2.96241104980622
NM_029762	Hyls1|3010015K02Rik|-|9 A4|9|protein-coding	2.0423071238568498	0.00179117001319449	3.9159808205197
NM_011352	Sema7a|2900057C09Rik|CDw108|H-Sema-L|M-Sema-L|Semal|-|9|9 A3.3-B|protein-coding	2.04169627804839	0.00186744961289433	3.7956311209390097
NM_008301	Hspa2|70kDa|HSP70.2|HSP70A2|Hsp70-2|-|12 C3|12 33.73 cM|protein-coding	2.03330470633944	0.00426378301982472	2.7306909834532593
NM_030234	Wdr76|5830411K18Rik|6030457D09|AA517836|RP23-273B19.3|2|2 F1|protein-coding	2.02945109886762	0.00115154678728125	5.814419040871731
NM_030014	Hook1|A930033L17Rik|azh|RP23-80B16.4|4 C5|4 44.17 cM|protein-coding	2.01802482946969	0.00302918717100386	3.28519002171899
NM_001136082	Timeless|C77407|Debt69|tim|-|10 D3|10 76.49 cM|protein-coding	1.99984155664596	0.0014000876199548198	6.05437703162853
NM_023065	Ifi30|GILT|IP30|-|8 B3.3|8|protein-coding	1.99253458586135	0.0020100680331201198	4.54842758906181
NM_008949	Psmc3ip|C79099|GT198|HOP2|Tbpip|RP23-440M18.5|11 D|11|protein-coding	1.98893877349675	0.00771317339771775	2.1379551123074196
NM_027429	Cenpl|2610300B10Rik|AW121806|AW550697|-|1|1 H1|protein-coding	1.98776655115495	0.0016660543590759401	5.466729577980661
NM_001195498	Dclk2|6330415M09Rik|AU044875|CL2|CLICK2|Click-II|Dcamkl2|-|3 F1|3|protein-coding	1.98734003478523	0.00332257071064615	3.4091533211104603
NM_010346	Grb7|mKIAA4028|RP23-355L10.11-001|11 D|11 61.75 cM|protein-coding	1.98607126717573	0.00309631011927396	3.52645437410746
NM_053199	Cadm3|BIgR|Igsf4b|Necl-1|Necl1|SynCAM3|Tsll1|-|1 H3|1|protein-coding	1.9839849867828798	0.006244753477813321	2.6023395688660096
NM_178142	Lcorl|Mlr1|-|5 B3|5|protein-coding	1.97032211023705	0.0025300318477171698	4.1576801738152405
NM_001081223	Rbbp8|9930104E21Rik|CtIP|RBBP-8|RIM|SAE2|-|18 A1|18|protein-coding	1.96883618029504	0.0019400915380586399	5.4892563495086595
NM_001164686	Tmem29|2700081K05Rik|6330540D07Rik|CXorf44-like|RP23-147K5.1|X F3|X|protein-coding	1.96726427665768	0.00860301292425118	2.12105364163065
NM_010439	Hmgb1|DEF|HMG-1|Hmg1|SBP-1|amphoterin|p30|mCG_144566|5 G3|5 89.18 cM|protein-coding	1.96666949687888	0.00306708821777421	3.79049904942714
NM_019393	Exosc9|PM/Scl-75|Pmscl1|RRP45|p5|p6|-|3 B|3|protein-coding	1.95520202107928	0.00207770079694008	5.55861671467544
NM_198937	Hn1l|2810430B18Rik|AL022629|C16orf34|D17Ertd441e|-|17 A3.3|17 12.53 cM|protein-coding	1.95265954307084	0.00307496132240815	3.9904631991185298
NR_040291	6430706D22Rik|-|-|-|ncRNA	1.9463615474517	0.00184805721918161	7.88151628739705
NM_023058	Pkmyt1|6230424P17|AW209059|Myt1|-|17 A3.3|17|protein-coding	1.9450542712465102	0.00215266542576743	5.833017021545709
NM_008681	Ndrg1|CAP43|CMT4D|DRG1|HMSNL|NMSL|Ndr1|Ndrl|PROXY1|RTP|TDD5|-|15 D2|15|protein-coding	1.94187465639305	0.006546549575539001	2.7964790091159504
NM_001284525	Chit1|2300002L19Rik|-|1 E4|1|protein-coding	1.9375799792902	0.006205280051346971	2.8945323393408704
NM_001243041	Adk|2310026J05Rik|5033405D03Rik|AI255373|AI987814|Ak|-|14|14 A2-B|protein-coding	1.9363642157815901	0.00648650712115255	2.84376650967144
