Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 CD8TCell-RNA-LCMV-0d-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 -rpkm -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep1-KAA-14-10-31 reads FPKM	CD8TCell-RNA-LCMV-35d-rep2-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-12d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGhi-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-KLRGlo-RNA-LCMV-7d-KAA-14-10-31 reads FPKM	Foxo1-KO-CD8TCell-RNA-LCMV-0d-KAA-14-10-31 reads FPKM
NM_146718	chr1	174069300	174070253	+	952.0	1	Olfr430|MOR105-5P|-|1 H4|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000
NM_177884	chr6	81923669	81959098	+	3356.0	1	Gcfc2|A130099G21|AW146020|GCF2|Tcf9|-|6 C3|6|protein-coding	4.944	6.227	4.695	6.354	3.150	3.724	4.063	6.093	6.960	5.650	3.588
NM_015779	chr10	79886312	79888216	+	913.0	1	Elane|Ela2|F430011M15Rik|NE|-|10 C1|10 39.72 cM|protein-coding	0.403	0.000	0.000	0.955	0.000	0.000	0.459	0.645	0.000	0.000	0.000
NM_177909	chr9	94669892	95230452	+	3474.0	1	Slc9a9|5730527A11Rik|9930105B05|AI854429|Nhe9|-|9 E3.3|9|protein-coding	20.150	8.649	19.851	10.758	15.379	23.199	28.480	21.188	10.778	12.779	16.042
NM_001081128	chr13	12186540	12258113	-	4449.0	1	Mtr|AI894170|D830038K18Rik|MS|-|13 A1|13 4.52 cM|protein-coding	6.053	7.291	9.899	6.832	11.261	10.920	8.594	7.436	7.221	6.989	9.706
NM_010275	chr15	7810048	7837580	+	4472.0	1	Gdnf|AI385739|-|15 A1|15|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_021308	chr14	70372480	70429094	-	4888.0	1	Piwil2|Piwil1l|mili|-|14 D2|14|protein-coding	0.109	0.295	0.027	0.268	0.185	0.014	0.055	0.022	0.222	0.377	0.061
NM_010364	chr17	35667739	35673682	-	1597.0	1	Gtf2h4|AW545633|BTF2 p52|TFIIH|p44|p52|-|17 B1|17|protein-coding	8.188	6.813	12.839	9.012	12.187	13.672	14.070	7.944	7.629	8.778	9.524
NM_001011799	chr6	42744039	42744992	+	952.0	1	Olfr453|MOR257-8P|-|6 B2.1|6|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026588	chr16	62814676	62822722	+	1184.0	1	Stx19|A030009B12Rik|-|16 C1.3|16|protein-coding	0.000	0.000	0.000	0.000	0.036	0.000	0.064	0.000	0.000	0.038	0.178
NM_177240	chr8	47490128	47533470	-	4290.0	1	Trappc11|AW558465|D030016E14Rik|R75422|-|8 B1.1|8|protein-coding	14.727	14.892	12.879	15.228	17.030	15.039	16.414	17.320	14.282	15.470	16.782
NM_001033537	chr11	98388672	98400490	-	2414.0	1	Pgap3|CAB2|D430035D22Rik|Perld1|RP23-355L10.7|11 D|11|protein-coding	8.312	7.495	9.586	8.057	11.620	9.830	11.532	6.653	8.519	10.200	12.707
NR_033513	chr2	75659290	75665756	+	1446.0	1	Gm6793|EG627828|-|8 E1|8|pseudo	1.215	1.169	0.730	1.206	0.358	1.311	0.816	0.444	0.644	0.808	0.614
NM_027920	chr6	116338123	116409540	+	4512.0	1	March8|1300017E09Rik|Mir|-|6|6|protein-coding	0.272	0.164	0.190	0.271	0.010	0.498	0.388	0.024	0.258	0.468	0.384
NM_001164312	chr1	166628971	166647693	-	3001.0	1	Gm4847|EG226604|Fmo12|-|1 H2.3|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_044986	chr12	32919384	32953789	-	1627.0	1	4933406C10Rik|-|-|12 A3|12|ncRNA	0.000	0.000	0.000	0.000	0.080	0.259	0.094	0.000	0.024	0.028	0.338
NM_026975	chr3	96196588	96197586	-	725.0	1	Bola1|1810037G04Rik|-|3|3 F2|protein-coding	13.021	8.186	9.639	9.624	6.548	12.395	14.078	7.310	8.028	11.900	8.917
NR_027799	chr15	82890483	82898461	-	7978.0	1	Tbrg3|TB-11|-|15 E1|15|ncRNA	0.015	0.108	0.033	0.142	0.087	0.202	0.010	0.107	0.034	0.017	0.085
NR_037233	chr12	109747878	109747960	+	82.0	1	Mir3072|mmu-mir-3072|-|12|12 60.56 cM|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_105913	chr14	54643049	54643110	-	61.0	1	Mir6948|mmu-mir-6948|-|-|ncRNA	9.379	10.135	15.131	13.584	12.027	5.754	11.862	15.796	11.450	9.576	40.866
NM_026167	chrX	23219271	23365082	-	3240.0	1	Klhl13|1200009K10Rik|AI451128|Bklhd2|D130072F20Rik|mKIAA1309|RP23-97H1.3|X A2|X|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_040618	chr2	35819190	35823385	+	650.0	1	9030204H09Rik|-|RP23-366N13.1|2|2|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_198680	chr1	107153961	107161114	-	1622.0	1	Serpinb3b|Scca2-rs|Scca2-rs1|-|1 E2.1|1|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_178616	chr11	80428615	80472133	+	1728.0	1	Psmd11|1700089D09Rik|1810019E17Rik|2610024G20Rik|2810055C24Rik|C78232|P44.5|S9|-|11 B5|11|protein-coding	20.244	19.988	24.304	29.806	21.277	19.095	20.783	21.376	21.848	25.067	20.881
NM_031199	chr6	86195251	86275449	+	4221.0	1	Tgfa|wa-1|wa1|-|6 D1|6 37.62 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_027309	chr9	75625732	75637773	+	1195.0	1	Lysmd2|2210402C18Rik|AV033872|AW538442|-|9 D|9|protein-coding	6.976	3.794	15.282	7.992	4.947	17.918	18.102	0.358	1.429	3.121	1.803
NM_146749	chr9	37772637	37773640	+	1001.0	1	Olfr875|MOR161-4|-|9 A5|9|protein-coding	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_013543	chr17	34026033	34028055	-	953.0	1	H2-Ke6|D17H6S112E|H-2Ke6|Hsd17b8|Ke-6|Ke6|Ring2|-|17 B1|17 17.98 cM|protein-coding	102.314	33.561	99.413	51.253	75.486	103.427	104.220	71.114	36.888	38.474	78.207
NM_011097	chr13	55825054	55831425	-	2443.0	1	Pitx1|Bft|P-OTX|Potx|Ptx1|-|13 B1|13 30.06 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_033079	chr6	82946922	83030309	+	2039.0	1	M1ap|D6Mm5e|-|6 C3|6 35.94 cM|protein-coding	0.140	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.104
NM_001142953	chr3	79345376	79464128	+	770.0	1	Gm17359|-|-|3|3|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_007874	chr18	34344886	34373415	-	2890.0	1	Reep5|AI324241|AU022809|AW495741|DP1/TB2|Dp1|R74856|TB2/DP1|-|18 B1|18|protein-coding	83.060	101.143	38.143	83.192	31.283	41.564	40.864	103.341	149.138	104.357	30.906
NM_001081322	chr9	75232014	75305450	+	6689.0	1	Myo5c|9130003O20Rik|BB085560|C330029I24|-|9 D|9|protein-coding	0.000	0.012	0.000	0.000	0.039	0.000	0.011	0.000	0.006	0.007	0.038
NM_007798	chr14	63122462	63145923	+	4731.0	1	Ctsb|CB|-|14 D1|14 33.24 cM|protein-coding	48.881	55.076	54.098	61.337	34.169	41.757	46.592	42.013	61.061	78.602	34.107
NM_001024622	chr16	56015508	56029717	-	2264.0	1	Pcnp|1110018D06Rik|AI647035|-|16 C1.1|16|protein-coding	8.285	11.469	7.135	12.001	10.198	8.031	8.327	10.593	13.248	13.139	8.790
NM_001134674	chr4	61224307	61228286	-	975.0	1	Mup13|Gm13513|Mup11|OTTMUSG00000012492|RP24-87D8.2|4 B3|4|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_007751	chr7	140898942	140900446	-	359.0	1	Cox8b|Cox8h|CoxVIII-H|-|7 F5|7 86.11 cM|protein-coding	0.000	0.000	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_029376	chr5	26034270	26039505	-	1496.0	1	Speer4a|1700027N01Rik|SPEER-4A|-|5 B1|5|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_007676	chr7	17074040	17098971	+	2276.0	1	Psg16|Cea11|PSG|bCEA|-|7 A2|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_045158	chr10	51756174	51757194	-	1020.0	1	4933411G06Rik|-|-|10 B3|10|pseudo	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_001013823	chr11	99850655	99851605	-	948.0	1	Krtap4-16|OTTMUSG00000002196|-|11 D|11|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_022814	chr4	58042796	58206596	-	11225.0	1	Svep1|1110021D17Rik|4833413O10Rik|AA387071|D430029O09Rik|Polydom|RP23-332H16.3|4|4 B-C2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.019
NM_001161765	chr3	97628838	97655287	+	5275.0	1	Fmo5|5033418D19Rik|AI195026|-|3 F2.2|3|protein-coding	1.007	0.664	1.337	0.488	1.563	1.371	1.675	1.979	0.986	1.133	2.075
NR_105867	chr1	93346092	93346155	+	63.0	1	Mir6902|mmu-mir-6902|-|-|ncRNA	0.000	1.308	3.139	2.077	3.425	2.229	3.627	0.000	3.695	6.419	4.695
NM_010210	chr14	9550094	11162032	-	976.0	1	Fhit|AW045638|Fra14A2|-|14 A2|14 5.61 cM|protein-coding	1.089	0.253	0.135	0.179	0.486	0.719	0.507	0.000	0.676	0.645	0.563
NM_008160	chr9	108339080	108340344	+	1043.0	1	Gpx1|AI195024|AL033363|CGPx|GPx-1|GSHPx-1|Gpx|-|9 F1|9 59.24 cM|protein-coding	75.423	70.972	80.468	95.918	154.164	84.945	98.513	69.494	81.733	91.977	135.140
NM_009930	chr1	45311538	45349706	+	5511.0	1	Col3a1|AW550625|Col3a-1|MMS10-W|Ms10w|mKIAA4231|-|1 C1.1|1 23.67 cM|protein-coding	0.022	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.008
NM_146069	chr16	32142825	32165476	-	3553.0	1	Nrros|E430025L02Rik|Lrcc33|Lrrc33|-|16 B2|16|protein-coding	28.041	17.458	22.267	16.889	37.336	30.725	28.576	25.508	20.990	21.221	35.485
NM_170756	chr2	167481136	167492874	-	3991.0	1	Spata2|AI504642|mKIAA0757|RP23-118A2.3|2 H3|2|protein-coding	10.434	15.625	11.696	16.981	13.203	11.434	10.535	11.710	14.457	14.343	12.196
NM_001198825	chr16	84954436	85173707	-	3228.0	1	App|Abeta|Abpp|Adap|Ag|Cvap|E030013M08Rik|betaApp|-|16 C3-qter|16 46.92 cM|protein-coding	0.139	0.319	0.327	0.014	6.845	1.087	0.649	0.166	0.120	0.056	1.322
NM_001030296	chr13	55464267	55473155	+	1355.0	1	Prr7|XM_484263|-|13 B1|13|protein-coding	7.872	5.871	9.342	11.619	10.892	6.684	6.858	4.938	7.044	6.632	14.999
NM_001166724	chr7	22871224	22872147	+	922.0	1	Vmn1r160|Gm6178|-|7 A3|7|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_024269	chr8	94667091	94674457	+	1925.0	1	Arl2bp|1700010P10Rik|1700027H16Rik|6330544B05Rik|AI482273|AI849834|BART|Bart1|-|8 C5|8|protein-coding	124.698	112.171	105.624	103.283	81.152	106.783	109.363	126.169	116.163	119.300	86.281
NM_025842	chr15	76622088	76626027	-	873.0	1	Vps28|1110014J03Rik|AI847241|D730005C08Rik|-|15 D3|15|protein-coding	172.918	144.987	159.877	151.463	133.368	152.792	157.219	135.332	149.962	138.402	117.026
NM_001102436	chr2	23068201	23114512	+	3578.0	1	Acbd5|1300014E15Rik|RP23-280K4.2|2 A3|2|protein-coding	5.631	9.549	5.417	9.909	6.018	7.515	6.908	10.009	11.582	12.571	6.141
NM_011402	chr5	53049353	53071663	+	4159.0	1	Slc34a2|AA536683|D5Ertd227e|NaPi-2b|Npt2b|-|5 C1|5 28.92 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_029113	chr15	37425554	37440644	+	581.0	1	4930447A16Rik|-|-|15 B3.1|15|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.200	0.000	0.000
NM_001276455	chr1	164249046	164265385	+	3449.0	1	Slc19a2|AV276020|AW322295|DDA1|THTR1|TRMA|-|1 H2.2|1 71.56 cM|protein-coding	2.784	3.836	3.976	3.566	1.702	2.219	3.180	3.151	3.353	3.713	2.805
NM_001005475	chrX	152179009	152225237	+	5192.0	1	Iqsec2|Brag1|mKIAA0522|-|X F3|X 68.46 cM|protein-coding	0.094	0.056	0.025	0.000	0.175	0.095	0.007	0.124	0.000	0.009	0.155
NM_001008422	chr7	45002950	45016249	-	4164.0	1	Scaf1|AI480556|SR-A1|-|7 B4|7|protein-coding	34.594	26.953	27.249	25.628	22.520	22.187	24.438	26.586	23.352	19.920	26.717
NM_001271747	chr2	153649449	153687730	+	3938.0	1	Dnmt3b|MmuIIIB|RP23-89H14.3|2|2 A2-A3|protein-coding	1.847	1.727	0.904	2.525	1.720	2.157	1.789	1.835	2.808	3.172	2.521
NM_028292	chr7	100326737	100371896	-	2345.0	1	Ppme1|1110069N17Rik|2700017M01Rik|PME-1|Pme1|-|7|7 F1|protein-coding	17.235	21.320	18.584	19.918	25.248	16.585	18.222	17.760	19.839	18.663	22.756
NM_019726	chr11	69914192	69916591	+	1208.0	1	Gps2|AI505953|RP23-172M21.10-001|11 B3|11|protein-coding	62.482	45.822	44.972	50.506	41.475	47.132	49.685	48.835	44.680	40.470	44.070
NM_008987	chr3	66219887	66225806	+	1917.0	1	Ptx3|AI607804|TSG-14|-|3 E1|3 30.25 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_134177	chr6	58434937	58435845	-	907.0	1	Vmn1r30|V1rc22|V1rc9|-|6 B3|6|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_028567	chr11	116674147	116674223	+	76.0	1	Snord1b|-|-|11|11|snoRNA	0.000	1.085	4.337	0.574	5.678	0.000	1.002	0.000	0.000	0.591	11.119
NM_172543	chr11	95337018	95381872	+	2307.0	1	Fam117a|5730593F17Rik|AW548096|RP23-67E18.1|11 D|11|protein-coding	83.148	55.884	44.324	47.694	40.816	48.507	53.848	85.020	61.659	45.362	44.394
NM_009471	chr16	33955012	33967003	-	3211.0	1	Umps|1700095D23Rik|AA408257|AL033308|BB164745|-|16 B3|16|protein-coding	5.765	11.860	7.700	10.023	9.663	7.740	6.665	5.118	12.277	12.748	9.606
NM_011869	chr11	98704591	98729435	-	3382.0	1	Med24|911GSE|AU040102|AW547152|D11Ertd307e|DRIP100|Gse2|Pparb2|Pparbp2|R75526|Thrap4|Trap100|RP23-395E10.5|11 D|11 62.46 cM|protein-coding	19.817	24.447	20.254	24.874	25.699	22.460	23.219	18.377	24.242	25.084	23.337
NM_001290761	chr16	4711318	4719356	-	1421.0	1	Nmral1|1110025F24Rik|AI256624|-|16 A1|16 2.46 cM|protein-coding	2.071	13.371	1.949	18.230	0.547	1.334	0.938	1.469	14.008	12.585	0.297
NM_026331	chr14	69241851	69285103	-	4156.0	1	Slc25a37|1700020E22Rik|4930513O14Rik|4930526G11Rik|AI848481|C330015G08Rik|Mfrn|Mfrn1|Mscp|frascati|mitoferrin|-|14 D2|14|protein-coding	15.064	9.838	14.674	10.242	12.221	16.689	17.484	14.091	10.559	11.968	12.149
NM_001285893	chr16	21423118	21644681	+	4978.0	1	Vps8|AI315068|AU040738|mKIAA0804|-|16 B1|16|protein-coding	6.469	3.486	5.721	3.399	6.398	6.121	5.937	6.667	4.591	4.044	6.196
NM_145950	chr4	15997121	16013877	-	2639.0	1	Osgin2|BC010311|C230027H09Rik|RP23-386N10.2|4 A2|4|protein-coding	6.473	8.746	5.396	7.684	4.906	7.342	7.677	9.514	8.704	10.454	4.915
NM_010415	chr18	36504927	36515805	-	2367.0	1	Hbegf|AW047313|Dtr|Dts|Hegfl|-|18 B2|18 19.46 cM|protein-coding	0.242	0.505	0.167	0.497	0.000	0.059	0.225	0.339	0.721	0.475	0.143
NM_145743	chr10	42312585	42478565	-	2498.0	1	Lace1|CG8520|-|10 B2|10 22.88 cM|protein-coding	2.290	1.534	2.850	2.776	2.384	3.766	2.317	1.264	2.066	2.051	2.233
NM_028333	chr1	156839023	156861079	+	2184.0	1	Angptl1|2810039D03Rik|ANG3|ANGPT3|ANGY|ARP1|-|1 H1|1|protein-coding	0.000	0.000	0.000	0.000	0.099	0.000	0.035	0.000	0.000	0.000	0.445
NM_027497	chr18	6435951	6490857	-	3952.0	1	Epc1|2400007E14Rik|5730566F07Rik|A930032N02Rik|-|18 A1|18|protein-coding	37.050	26.459	34.683	29.949	41.145	37.145	34.267	37.223	26.342	28.595	46.710
NM_175103	chr7	126696000	126696693	+	332.0	1	Bola2|1110025L05Rik|BolA-2|-|7 F3|7|protein-coding	79.762	86.529	101.873	100.751	96.447	93.041	116.315	51.275	70.240	74.167	76.104
NR_030444	chr11	70234717	70234800	+	83.0	1	Mir497|Mir|Mirn497|mmu-mir-497|-|11|11|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_025874	chr17	56111601	56117548	-	1927.0	1	Plin5|2310076L09Rik|AI415325|AW109675|Lsdp5|MLDP|PAT-1|-|17 D|17|protein-coding	0.233	0.000	0.000	0.045	0.000	0.146	0.079	0.222	0.020	0.000	0.000
NM_001004721	chr2	155278252	155357424	-	1607.0	1	Pigu|5430426F17Rik|BC028278|Cdc91l1|RP23-87L24.5|2 H1|2|protein-coding	9.689	13.619	8.287	11.914	11.547	15.683	12.181	6.329	12.314	13.701	8.676
NM_025542	chr2	172440578	172469899	+	2131.0	1	Rtfdc1|1700067C04Rik|2410001C21Rik|5730427M17Rik|AA589417|RP23-228E2.5|2 H3|2|protein-coding	35.937	37.522	27.659	39.293	29.364	30.012	29.773	27.608	41.096	42.129	31.366
NM_001163640	chr6	54039932	54301812	+	3135.0	1	Chn2|1700026N20Rik|4930557O16Rik|ARHGAP3|Bch|-|6 B3|6|protein-coding	0.886	0.763	0.210	0.751	0.289	0.022	0.279	0.085	1.819	0.903	0.822
NM_009574	chr14	122475384	122480328	+	2962.0	1	Zic2|HPE5|Ku|-|14 E5|14 65.97 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_026915	chr9	121577843	121641566	-	988.0	1	Lyzl4|1810009N24Rik|AI504271|Lyc4|-|9 F4|9|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_054042	chr19	5068078	5070639	+	2559.0	1	Cd248|2610111G01Rik|AI842296|Cd164l1|Tem1|-|19 A|19|protein-coding	0.096	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.182	0.035	0.116
NM_007517	chr6	83054653	83057682	+	1497.0	1	Aup1|AA589454|-|6 C3|6 35.94 cM|protein-coding	81.349	73.016	72.668	70.791	55.002	62.607	64.185	83.105	78.329	69.096	60.428
NM_029842	chr7	125444620	125462268	+	2434.0	1	Kdm8|3110005O21Rik|Jmjd5|-|7 F3|7|protein-coding	3.308	6.485	2.384	6.146	1.968	3.144	3.583	3.057	6.345	7.384	2.586
NM_146861	chr10	128989914	128990852	+	937.0	1	Olfr9|MOR269-3|-|10 D3|10|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_010086	chr8	40675094	40682199	+	2866.0	1	Adam24|Dtgn5|-|8 A4|8|protein-coding	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_029645	chr7	3220773	3220841	+	68.0	1	Mir295|Mirn295|mmu-miR-295|-|7|7|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_011185	chr17	15475721	15498276	-	1028.0	1	Psmb1|AA409053|C81484|Lmpc5|-|17 A2|17 8.95 cM|protein-coding	158.096	182.304	180.472	213.938	175.472	192.651	184.415	154.347	215.296	241.625	160.169
NM_001271729	chr11	117815519	117826014	-	1329.0	1	Tk1|D530002A18Rik|Tk-1|Tk1a|Tk1b|RP23-151N19.8|11 E1-E2|11 82.96 cM|protein-coding	5.012	41.340	4.762	37.409	1.396	2.060	3.525	3.303	40.115	36.312	1.176
NM_008606	chr10	75923224	75932463	-	2237.0	1	Mmp11|ST3|Stmy3|-|10 C1|10 38.62 cM|protein-coding	0.493	0.276	0.648	0.214	1.408	0.126	0.289	0.000	0.260	0.321	0.378
NM_001252627	chr8	104614138	104624396	-	2895.0	1	Cdh16|-|-|8 D3|8 53.04 cM|protein-coding	0.014	0.000	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000
NM_182929	chr4	120877869	120891560	+	969.0	1	Rims3|A730060M23Rik|Nim3|Rim3|mKIAA0237|RP23-182D20.2|4 D2.2|4|protein-coding	0.506	0.425	0.748	0.360	0.312	0.145	0.275	0.884	0.921	0.881	0.959
NM_030238	chr12	110601395	110666944	+	14319.0	1	Dync1h1|9930018I23Rik|AI894280|DHC1|DHC1a|DNCL|Dnchc1|Dnec1|Dnecl|Loa|MAP1C|P22|Swl|mKIAA0325|-|12 F1|12 60.7 cM|protein-coding	35.300	23.073	40.698	22.851	49.094	39.630	42.554	34.679	19.088	20.168	54.609
NM_009357	chr6	83770414	83775812	-	1446.0	1	Tex261|3110001O07Rik|AA409339|AI480706|AL033351|TEG-261|-|6 C3|6 35.94 cM|protein-coding	34.987	39.278	30.275	38.122	39.036	30.441	32.632	36.021	36.896	30.204	27.554
NM_001195674	chr14	65605267	65648443	+	2545.0	1	Nuggc|Gm600|SLIP-GC|-|14 D1|14|protein-coding	0.000	0.032	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.017
NM_207020	chr6	132737054	132737986	-	931.0	1	Tas2r115|T2R15|Tas2r15|mGR15|mt2r49|-|6 G1|6 64.03 cM|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_019574	chr11	3290457	3309083	+	3094.0	1	Patz1|8430401L15Rik|AI447519|Mazr|Patz|Zfp278|RP23-191E3.5|11 A1|11|protein-coding	13.670	10.963	15.449	12.362	18.690	13.591	15.423	13.080	10.585	12.388	17.247
NR_045171	chr10	127667123	127668851	+	693.0	1	1700012D01Rik|-|-|10|10|ncRNA	1.179	0.297	0.000	0.881	1.121	0.203	0.495	0.695	0.168	0.324	2.256
NM_153173	chr13	23531044	23531478	+	432.0	1	Hist1h4h|1700024H08Rik|-|13 A2-A3|13|protein-coding	0.095	0.000	0.153	1.010	0.300	0.000	0.705	0.000	0.719	0.208	0.391
NM_023718	chr6	142085768	142186149	-	2787.0	1	Slco1a6|4930422F19Rik|AI790453|Oatp-5|Oatp5|Slc21a13|-|6 G2|6|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_033573	chr12	69790344	69841880	+	1413.0	1	4930512B01Rik|4930472D12Rik|RP23-359M9.3|12 C2|12|ncRNA	0.000	0.117	0.000	0.062	0.183	0.000	0.000	0.152	0.027	0.064	0.598
NR_037257	chr17	51277988	51613053	+	57.0	1	Mir669p-1|Mir699p-1|mmu-mir-669p-1|-|2|2 8.22 cM|ncRNA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_019674	chr7	126785868	126792471	-	1321.0	1	Ppp4c|1110002D08Rik|AU016079|Ppx|-|7 F3|7|protein-coding	135.187	157.750	121.977	160.445	118.290	118.725	114.221	112.899	155.853	156.466	100.559
NM_183017	chr15	83575094	83595157	-	3754.0	1	Ttll12|BC055368|D430005B17|RP23-121M7.1|15 E1|15|protein-coding	17.287	21.234	18.528	22.921	16.806	16.457	15.694	5.690	10.512	11.850	9.544
NM_001109970	chrX	28584992	28607902	-	913.0	12	Gm10486|ENSMUSG00000073247|RP23-110D11.1|X A3.1|X|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NM_029321	chr12	9029997	9036394	+	995.0	1	Ttc32|1700013G20Rik|-|12|12 A1.3|protein-coding	3.080	5.012	1.789	3.068	2.862	4.375	3.674	3.443	3.471	4.561	2.718
NM_008453	chr5	64803523	64830129	+	2306.0	1	Klf3|9930027G08Rik|AL024007|Bklf|Tef-2|-|5 C3.1|5|protein-coding	147.070	84.559	112.761	81.623	87.356	119.675	121.929	103.489	53.407	34.723	82.854
NM_010380	chr17	35263094	35267497	+	1726.0	1	H2-D1|H-2D|H2-D|-|17 B1|17 18.61 cM|protein-coding	1606.731	1215.821	1364.732	1309.253	882.837	1247.603	1354.518	1469.711	1305.992	1193.408	848.506
NM_139197	chr2	28496891	28505415	+	1326.0	1	Gbgt1|Fgs|Fs|RP23-430H1.5|2 A3|2|protein-coding	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NR_110583	chr8	26082609	26096520	+	615.0	1	1700047A11Rik|4930554C15Rik|-|8 A2|8|ncRNA	0.930	1.876	0.750	0.993	0.421	2.626	1.486	1.219	1.956	1.315	1.374
